Date,Time,Price,Theta,Load(kW)
2020/1/1,01:00,1.5,0.0,1542
2020/1/1,02:00,1.5,0.0,1504
2020/1/1,03:00,1.5,0.0,1487
2020/1/1,04:00,1.5,0.0,1510
2020/1/1,05:00,1.5,0.0,1506
2020/1/1,06:00,1.5,0.0,1616
2020/1/1,07:00,1.5,0.006,1585
2020/1/1,08:00,1.5,0.044,1732
2020/1/1,09:00,1.5,0.118,1765
2020/1/1,10:00,1.5,0.143,1861
2020/1/1,11:00,1.5,0.21,1912
2020/1/1,12:00,1.5,0.2,1984
2020/1/1,13:00,1.5,0.199,1983
2020/1/1,14:00,1.5,0.219,2002
2020/1/1,15:00,1.5,0.136,1997
2020/1/1,16:00,1.5,0.083,2042
2020/1/1,17:00,1.5,0.009,2065
2020/1/1,18:00,1.5,0.0,2158
2020/1/1,19:00,1.5,0.0,2166
2020/1/1,20:00,1.5,0.0,2134
2020/1/1,21:00,1.5,0.0,1976
2020/1/1,22:00,1.5,0.0,1930
2020/1/1,23:00,1.5,0.0,1646
2020/1/2,00:00,1.5,0.0,1473
2020/1/2,01:00,1.5,0.0,1443
2020/1/2,02:00,1.5,0.0,1443
2020/1/2,03:00,1.5,0.0,1397
2020/1/2,04:00,1.5,0.0,1412
2020/1/2,05:00,1.5,0.0,1407
2020/1/2,06:00,1.5,0.0,1678
2020/1/2,07:00,1.5,0.015,2010
2020/1/2,08:00,3.44,0.123,4127
2020/1/2,09:00,3.44,0.353,5910
2020/1/2,10:00,3.44,0.481,6376
2020/1/2,11:00,3.44,0.529,6587
2020/1/2,12:00,3.44,0.557,6426
2020/1/2,13:00,3.44,0.542,6261
2020/1/2,14:00,3.44,0.43,6719
2020/1/2,15:00,3.44,0.299,6634
2020/1/2,16:00,3.44,0.118,6491
2020/1/2,17:00,3.44,0.01,6246
2020/1/2,18:00,3.44,0.001,6235
2020/1/2,19:00,3.44,0.001,4790
2020/1/2,20:00,3.44,0.0,3596
2020/1/2,21:00,3.44,0.0,3093
2020/1/2,22:00,3.44,0.0,2528
2020/1/2,23:00,1.5,0.0,1950
2020/1/3,00:00,1.5,0.0,1711
2020/1/3,01:00,1.5,0.0,1535
2020/1/3,02:00,1.5,0.0,1527
2020/1/3,03:00,1.5,0.0,1486
2020/1/3,04:00,1.5,0.0,1542
2020/1/3,05:00,1.5,0.0,1488
2020/1/3,06:00,1.5,0.0,1664
2020/1/3,07:00,1.5,0.014,1790
2020/1/3,08:00,3.44,0.141,2214
2020/1/3,09:00,3.44,0.363,2521
2020/1/3,10:00,3.44,0.382,2623
2020/1/3,11:00,3.44,0.464,2706
2020/1/3,12:00,3.44,0.55,2881
2020/1/3,13:00,3.44,0.52,2841
2020/1/3,14:00,3.44,0.417,2786
2020/1/3,15:00,3.44,0.278,2562
2020/1/3,16:00,3.44,0.11,2775
2020/1/3,17:00,3.44,0.013,2518
2020/1/3,18:00,3.44,0.004,2324
2020/1/3,19:00,3.44,0.004,2235
2020/1/3,20:00,3.44,0.0,2179
2020/1/3,21:00,3.44,0.0,2029
2020/1/3,22:00,3.44,0.0,1799
2020/1/3,23:00,1.5,0.0,1585
2020/1/4,00:00,1.5,0.0,1582
2020/1/4,01:00,1.5,0.0,1485
2020/1/4,02:00,1.5,0.0,1474
2020/1/4,03:00,1.5,0.0,1474
2020/1/4,04:00,1.5,0.0,1499
2020/1/4,05:00,1.5,0.0,1474
2020/1/4,06:00,1.5,0.004,1623
2020/1/4,07:00,1.5,0.013,1601
2020/1/4,08:00,1.71,0.114,1781
2020/1/4,09:00,1.71,0.279,2084
2020/1/4,10:00,1.71,0.436,2117
2020/1/4,11:00,1.71,0.519,2175
2020/1/4,12:00,1.71,0.546,2283
2020/1/4,13:00,1.71,0.52,2302
2020/1/4,14:00,1.71,0.401,2379
2020/1/4,15:00,1.71,0.272,2557
2020/1/4,16:00,1.71,0.095,2634
2020/1/4,17:00,1.71,0.01,2382
2020/1/4,18:00,1.71,0.0,2367
2020/1/4,19:00,1.71,0.0,2369
2020/1/4,20:00,1.71,0.0,2327
2020/1/4,21:00,1.71,0.0,2224
2020/1/4,22:00,1.71,0.0,2135
2020/1/4,23:00,1.5,0.0,1774
2020/1/5,00:00,1.5,0.0,1647
2020/1/5,01:00,1.5,0.0,1575
2020/1/5,02:00,1.5,0.0,1547
2020/1/5,03:00,1.5,0.0,1522
2020/1/5,04:00,1.5,0.0,1564
2020/1/5,05:00,1.5,0.0,1573
2020/1/5,06:00,1.5,0.0,1976
2020/1/5,07:00,1.5,0.011,2189
2020/1/5,08:00,1.5,0.125,5108
2020/1/5,09:00,1.5,0.324,6610
2020/1/5,10:00,1.5,0.451,6893
2020/1/5,11:00,1.5,0.55,7028
2020/1/5,12:00,1.5,0.523,7208
2020/1/5,13:00,1.5,0.436,6990
2020/1/5,14:00,1.5,0.374,7483
2020/1/5,15:00,1.5,0.246,7270
2020/1/5,16:00,1.5,0.114,7077
2020/1/5,17:00,1.5,0.013,6620
2020/1/5,18:00,1.5,0.004,6702
2020/1/5,19:00,1.5,0.004,4997
2020/1/5,20:00,1.5,0.0,3980
2020/1/5,21:00,1.5,0.0,3412
2020/1/5,22:00,1.5,0.0,2956
2020/1/5,23:00,1.5,0.0,2201
2020/1/6,00:00,1.5,0.0,1906
2020/1/6,01:00,1.5,0.0,1703
2020/1/6,02:00,1.5,0.0,1647
2020/1/6,03:00,1.5,0.0,1585
2020/1/6,04:00,1.5,0.0,1602
2020/1/6,05:00,1.5,0.0,1575
2020/1/6,06:00,1.5,0.004,1923
2020/1/6,07:00,1.5,0.004,2228
2020/1/6,08:00,3.44,0.062,5079
2020/1/6,09:00,3.44,0.194,6329
2020/1/6,10:00,3.44,0.206,6759
2020/1/6,11:00,3.44,0.311,6893
2020/1/6,12:00,3.44,0.435,7107
2020/1/6,13:00,3.44,0.418,6815
2020/1/6,14:00,3.44,0.364,7117
2020/1/6,15:00,3.44,0.232,7196
2020/1/6,16:00,3.44,0.089,6855
2020/1/6,17:00,3.44,0.008,6562
2020/1/6,18:00,3.44,0.0,6584
2020/1/6,19:00,3.44,0.0,5069
2020/1/6,20:00,3.44,0.0,4040
2020/1/6,21:00,3.44,0.0,3270
2020/1/6,22:00,3.44,0.0,2866
2020/1/6,23:00,1.5,0.0,2117
2020/1/7,00:00,1.5,0.0,1782
2020/1/7,01:00,1.5,0.0,1654
2020/1/7,02:00,1.5,0.0,1604
2020/1/7,03:00,1.5,0.0,1574
2020/1/7,04:00,1.5,0.0,1582
2020/1/7,05:00,1.5,0.0,1587
2020/1/7,06:00,1.5,0.0,1909
2020/1/7,07:00,1.5,0.001,2168
2020/1/7,08:00,3.44,0.053,4751
2020/1/7,09:00,3.44,0.168,6169
2020/1/7,10:00,3.44,0.368,6660
2020/1/7,11:00,3.44,0.538,6229
2020/1/7,12:00,3.44,0.508,6178
2020/1/7,13:00,3.44,0.517,5951
2020/1/7,14:00,3.44,0.46,6375
2020/1/7,15:00,3.44,0.259,6216
2020/1/7,16:00,3.44,0.117,6186
2020/1/7,17:00,3.44,0.015,6075
2020/1/7,18:00,3.44,0.004,6030
2020/1/7,19:00,3.44,0.004,4635
2020/1/7,20:00,3.44,0.0,3622
2020/1/7,21:00,3.44,0.0,3034
2020/1/7,22:00,3.44,0.0,2718
2020/1/7,23:00,1.5,0.0,2130
2020/1/8,00:00,1.5,0.0,1669
2020/1/8,01:00,1.5,0.0,1616
2020/1/8,02:00,1.5,0.0,1594
2020/1/8,03:00,1.5,0.0,1515
