Date,Time,Price,Theta,Load(kW)
2020/1/1,00:00,1.5,0.000,400
2020/1/1,00:15,1.5,0.000,400
2020/1/1,00:30,1.5,0.000,379
2020/1/1,00:45,1.5,0.000,384
2020/1/1,01:00,1.5,0.000,379
2020/1/1,01:15,1.5,0.000,381
2020/1/1,01:30,1.5,0.000,372
2020/1/1,01:45,1.5,0.000,384
2020/1/1,02:00,1.5,0.000,367
2020/1/1,02:15,1.5,0.000,372
2020/1/1,02:30,1.5,0.000,372
2020/1/1,02:45,1.5,0.000,376
2020/1/1,03:00,1.5,0.000,367
2020/1/1,03:15,1.5,0.000,374
2020/1/1,03:30,1.5,0.000,393
2020/1/1,03:45,1.5,0.000,376
2020/1/1,04:00,1.5,0.000,367
2020/1/1,04:15,1.5,0.000,391
2020/1/1,04:30,1.5,0.000,374
2020/1/1,04:45,1.5,0.000,367
2020/1/1,05:00,1.5,0.000,374
2020/1/1,05:15,1.5,0.000,408
2020/1/1,05:30,1.5,0.000,400
2020/1/1,05:45,1.5,0.000,396
2020/1/1,06:00,1.5,0.000,412
2020/1/1,06:15,1.5,0.000,391
2020/1/1,06:30,1.5,0.000,388
2020/1/1,06:45,1.5,0.001,410
2020/1/1,07:00,1.5,0.006,396
2020/1/1,07:15,1.5,0.012,439
2020/1/1,07:30,1.5,0.025,434
2020/1/1,07:45,1.5,0.036,432
2020/1/1,08:00,1.5,0.044,427
2020/1/1,08:15,1.5,0.057,453
2020/1/1,08:30,1.5,0.076,432
2020/1/1,08:45,1.5,0.090,434
2020/1/1,09:00,1.5,0.118,446
2020/1/1,09:15,1.5,0.108,456
2020/1/1,09:30,1.5,0.120,451
2020/1/1,09:45,1.5,0.152,482
2020/1/1,10:00,1.5,0.143,472
2020/1/1,10:15,1.5,0.132,463
2020/1/1,10:30,1.5,0.145,492
2020/1/1,10:45,1.5,0.208,480
2020/1/1,11:00,1.5,0.210,477
2020/1/1,11:15,1.5,0.294,516
2020/1/1,11:30,1.5,0.285,492
2020/1/1,11:45,1.5,0.200,477
